station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,Suspenderede stoffer,Total,52.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,5.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,"Nitrogen,total N",Total,7.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,"Glødetab,susp.stof",Total,10.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.13,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.08,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,"Phosphor, total-P",Total,0.11,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,Suspenderede stoffer,Total,12.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.035,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,"Glødetab,susp.stof",Total,3.9,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.19,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-14,"Nitrogen,total N",Total,4.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.13,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,Suspenderede stoffer,Total,16.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.056,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,"Nitrogen,total N",Total,7.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,5.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,"Glødetab,susp.stof",Total,4.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-11-29,"Phosphor, total-P",Total,0.16,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,"Phosphor, total-P",Total,0.16,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,"Nitrogen,total N",Total,6.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,"Glødetab,susp.stof",Total,4.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-12-12,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.04,mg/l
