mvm_id,date,flow_m3/s,N-TOT_µg/l,P-TOT_µg/l,TOC_mg/l,N-NH4_µg/l,N-NO3_µg/l,SRP_µg/l,DOC_mg/l,N-TON_µg/l
35,2016-07-13,3.79,504.0312883658271,10.723092027535523,8.34065216059954,27.291759008969798,227.29315771502533,3.442328476171336,8.090432595781554,249.44637164183197
35,2016-07-14,3.81,504.1722765225608,10.726214605232784,8.343081430630846,27.299393088213513,227.35673639373857,3.4433308864927934,8.09278898771192,249.51614704060876
35,2016-07-15,3.78,503.9605299045246,10.721524896693703,8.339432980742382,27.287927653817277,227.2612491520537,3.441825395613151,8.089249991320111,249.41135309865362
35,2016-07-16,3.82,504.24250801787434,10.727770091815316,8.34429155171094,27.303195909762845,227.38840732113798,3.4438302290092615,8.093962805159611,249.55090478697352
35,2016-07-17,3.75,503.74718604148273,10.716799894566616,8.335757073828105,27.27637573346912,227.1650416319469,3.440308574781037,8.085684361613263,249.3057686760667
35,2016-07-18,3.66,503.0973182654291,10.702407548841517,8.324560271632555,27.241187372863067,226.87198343828717,3.4356883419786706,8.074823463483577,248.98414745427888
35,2016-07-19,3.58,502.5068275096482,10.689330862257245,8.3143870142542,27.209214097045116,226.60570134116156,3.4314904622544815,8.064955403826573,248.69191207144152
35,2016-07-20,3.48,501.7508890496405,10.672591181354521,8.301364064135893,27.168282331989353,226.26481052033483,3.4261166875908398,8.052323142211815,248.31779619731628
35,2016-07-21,3.4,501.1311798615346,10.658868965699362,8.290688610849042,27.134726967059002,225.9853523567627,3.4217115800356104,8.04196795252357,248.01110053771288
35,2016-07-22,3.34,500.657269924669,10.648375651526914,8.282525143381385,27.109066187485524,225.77164243734094,3.4183430148780536,8.034049389079943,247.77656129984254
35,2016-07-23,3.25,499.93106956459087,10.632296913562833,8.270016395335189,27.06974464996007,225.44416202732293,3.413181416207397,8.021915903475133,247.41716288730788
35,2016-07-24,3.17,499.2693910967511,10.617647583529129,8.258619684442092,27.03391677636862,225.14577779638572,3.4084786862669696,8.01086109390883,247.08969652399676
35,2016-07-25,3.08,498.50583289767917,10.600743662027654,8.245468977109507,26.992572425651908,224.80145085047536,3.403052187063748,7.998104907796222,246.71180962155188
35,2016-07-26,3.06,498.33328676491516,10.596923921821649,8.242497342616216,26.98322957813029,224.72364108692952,3.4018259735379344,7.99522242233773,246.62641609985533
35,2016-07-27,2.96,497.45420956539436,10.577464192326339,8.227358304828527,26.935630225404815,224.3272207908757,3.395579008501331,7.9805375556836715,246.19135854911386
35,2016-07-28,2.88,496.7304600370788,10.561443939393259,8.214895072116853,26.89644139295418,224.00084558464803,3.390436184703363,7.9684482199533475,245.8331730594766
35,2016-07-29,2.77,495.7035849480519,10.538715622143421,8.197213190974907,26.8408392346975,223.5377757575336,3.3831399371766544,7.951296795245659,245.3249699558208
35,2016-07-30,2.76,495.6083266832428,10.536607323294389,8.19557300437836,26.835681289810367,223.49481899610495,3.3824631307904305,7.949705814247009,245.27782639732746
35,2016-07-31,2.68,494.8342773814029,10.519476332098796,8.18224566358006,26.79376887783418,223.1457610822347,3.376963737642801,7.936778293672658,244.89474742133402
35,2016-08-01,2.59,493.93687588437194,10.4996167293524,8.166795559004777,26.745177320213493,222.7410774351943,3.3705884052401864,7.921791692234634,244.45062112896414
35,2016-08-02,2.5,493.00944746581854,10.479094182977764,8.150829712367537,26.694959896252982,222.32285313310564,3.364000254582937,7.906304820996511,243.99163443645995
35,2016-08-03,2.41,492.0498504216479,10.457861462599837,8.134311380642812,26.643000639199443,221.89012237345239,3.357184123769563,7.8902820392235276,243.51672740899605
35,2016-08-04,2.44,492.37343209525994,10.465021069002413,8.13988130933579,26.660521601210696,222.03604168852596,3.359482501600741,7.895684870055716,243.6768688055233
35,2016-08-05,2.47,492.69326842339683,10.47209799519248,8.145386916365648,26.677839764172614,222.180272038213,3.3617543374187377,7.9010253088746785,243.8351566210112
35,2016-08-06,2.44,492.37343209525994,10.465021069002413,8.13988130933579,26.660521601210696,222.03604168852596,3.359482501600741,7.895684870055716,243.6768688055233
35,2016-08-07,2.44,492.37343209525994,10.465021069002413,8.13988130933579,26.660521601210696,222.03604168852596,3.359482501600741,7.895684870055716,243.6768688055233
35,2016-08-08,2.49,492.9044555100187,10.476770974295428,8.149022334999755,26.68927490164707,222.275506958931,3.363254457812494,7.904551664949762,243.9396736494406
35,2016-08-09,2.43,492.2659921276075,10.462643818146091,8.13803188946746,26.654704054219497,221.98759158220082,3.3587193562041797,7.893890932783435,243.62369649118716
35,2016-08-10,2.35,491.39108238825077,10.443286080328008,8.122972234421503,26.607330356768014,221.5930506043604,3.352505132549814,7.879283067388858,243.19070142712238
35,2016-08-11,2.35,491.39108238825077,10.443286080328008,8.122972234421503,26.607330356768014,221.5930506043604,3.352505132549814,7.879283067388858,243.19070142712238
35,2016-08-12,2.33,491.16795009332407,10.43834941277621,8.119131677499292,26.595248422648403,221.49242898607451,3.350920362853974,7.8755577271743125,243.08027268460114
35,2016-08-13,2.4,491.94114187959633,10.455456207885042,8.132440174974223,26.637114402768553,221.84110020287721,3.356411988570507,7.888466969724996,243.46292727395058
35,2016-08-14,2.4,491.94114187959633,10.455456207885042,8.132440174974223,26.637114402768553,221.84110020287721,3.356411988570507,7.888466969724996,243.46292727395058
35,2016-08-15,2.35,491.39108238825077,10.443286080328008,8.122972234421503,26.607330356768014,221.5930506043604,3.352505132549814,7.879283067388858,243.19070142712238
35,2016-08-16,2.31,490.94299685479655,10.433372551103089,8.115259851287854,26.58306788997932,221.39098621237505,3.349322690035783,7.871802055749218,242.9689427524422
35,2016-08-17,2.27,490.48750346785914,10.4232955096725,8.107420262736765,26.55840431048849,221.18558124521323,3.3460877568110194,7.864197654854662,242.74351791215744
35,2016-08-18,2.22,489.9073277086337,10.410460632097259,8.097435175450777,26.52698956031502,220.92395070086425,3.341967502648137,7.854512120187253,242.45638744745443
35,2016-08-19,2.18,489.4342086742522,10.399994567391445,8.08929294372437,26.501371605702,220.7105974393072,3.3386076851181037,7.846614155412639,242.222239629243
35,2016-08-20,2.17,489.31464485671376,10.397349711707896,8.087235338895438,26.49489758916816,220.6566800769052,3.3377586331831335,7.844618278728574,242.16306719064042
